file,true,pred,confidence,gated
Brad Pitt,Brad Pitt,Tom Hanks,0.5070,recognized
Brad Pitt,Brad Pitt,Natalie Portman,0.3201,unknown
Brad Pitt,Brad Pitt,Robert Downey Jr,0.3838,unknown
Brad Pitt,Brad Pitt,Brad Pitt,0.5669,recognized
Brad Pitt,Brad Pitt,Brad Pitt,0.6155,recognized
Denzel Washington,Denzel Washington,Denzel Washington,0.6158,recognized
Denzel Washington,Denzel Washington,Will Smith,0.5571,recognized
Denzel Washington,Denzel Washington,Sandra Bullock,0.3657,unknown
Denzel Washington,Denzel Washington,Johnny Depp,0.5760,recognized
Denzel Washington,Denzel Washington,Denzel Washington,0.6143,recognized
Denzel Washington,Denzel Washington,Denzel Washington,0.3669,unknown
Denzel Washington,Denzel Washington,Will Smith,0.5219,recognized
Denzel Washington,Denzel Washington,Tom Hanks,0.4979,unknown
Denzel Washington,Denzel Washington,Denzel Washington,0.5439,recognized
Denzel Washington,Denzel Washington,Tom Hanks,0.4604,unknown
Denzel Washington,Denzel Washington,Denzel Washington,0.6688,recognized
Denzel Washington,Denzel Washington,Denzel Washington,0.3477,unknown
Denzel Washington,Denzel Washington,Denzel Washington,0.6452,recognized
Denzel Washington,Denzel Washington,Denzel Washington,0.4247,unknown
Denzel Washington,Denzel Washington,Denzel Washington,0.5793,recognized
Denzel Washington,Denzel Washington,Hugh Jackman,0.4446,unknown
Denzel Washington,Denzel Washington,Hugh Jackman,0.2251,unknown
Denzel Washington,Denzel Washington,Jennifer Lawrence,0.2523,unknown
Denzel Washington,Denzel Washington,Denzel Washington,0.5768,recognized
Denzel Washington,Denzel Washington,Robert Downey Jr,0.6002,recognized
Hugh Jackman,Hugh Jackman,Hugh Jackman,0.5782,recognized
Hugh Jackman,Hugh Jackman,Hugh Jackman,0.6205,recognized
Hugh Jackman,Hugh Jackman,Brad Pitt,0.6337,recognized
Hugh Jackman,Hugh Jackman,Johnny Depp,0.4862,unknown
Hugh Jackman,Hugh Jackman,Robert Downey Jr,0.5186,recognized
Hugh Jackman,Hugh Jackman,Will Smith,0.2513,unknown
Hugh Jackman,Hugh Jackman,Denzel Washington,0.2115,unknown
Hugh Jackman,Hugh Jackman,Denzel Washington,0.6363,recognized
Hugh Jackman,Hugh Jackman,Denzel Washington,0.4149,unknown
Hugh Jackman,Hugh Jackman,Robert Downey Jr,0.4109,unknown
Hugh Jackman,Hugh Jackman,Tom Hanks,0.5364,recognized
Hugh Jackman,Hugh Jackman,Tom Cruise,0.2780,unknown
Hugh Jackman,Hugh Jackman,Will Smith,0.3359,unknown
Hugh Jackman,Hugh Jackman,Hugh Jackman,0.2213,unknown
Hugh Jackman,Hugh Jackman,Tom Hanks,0.5348,recognized
Hugh Jackman,Hugh Jackman,Tom Hanks,0.4338,unknown
Hugh Jackman,Hugh Jackman,Brad Pitt,0.3769,unknown
Hugh Jackman,Hugh Jackman,Tom Cruise,0.4204,unknown
Hugh Jackman,Hugh Jackman,Jennifer Lawrence,0.3473,unknown
Hugh Jackman,Hugh Jackman,Denzel Washington,0.3432,unknown
Jennifer Lawrence,Jennifer Lawrence,Natalie Portman,0.4529,unknown
Jennifer Lawrence,Jennifer Lawrence,Natalie Portman,0.3572,unknown
Jennifer Lawrence,Jennifer Lawrence,Jennifer Lawrence,0.4379,unknown
Jennifer Lawrence,Jennifer Lawrence,Jennifer Lawrence,0.4025,unknown
Jennifer Lawrence,Jennifer Lawrence,Jennifer Lawrence,0.6094,recognized
Jennifer Lawrence,Jennifer Lawrence,Jennifer Lawrence,0.3283,unknown
Jennifer Lawrence,Jennifer Lawrence,Sandra Bullock,0.3791,unknown
Jennifer Lawrence,Jennifer Lawrence,Jennifer Lawrence,0.4380,unknown
Jennifer Lawrence,Jennifer Lawrence,Sandra Bullock,0.3007,unknown
Jennifer Lawrence,Jennifer Lawrence,Megan Fox,0.3280,unknown
Jennifer Lawrence,Jennifer Lawrence,Johnny Depp,0.2321,unknown
Jennifer Lawrence,Jennifer Lawrence,Will Smith,0.5192,recognized
Jennifer Lawrence,Jennifer Lawrence,Megan Fox,0.2135,unknown
Jennifer Lawrence,Jennifer Lawrence,Jennifer Lawrence,0.4813,unknown
Jennifer Lawrence,Jennifer Lawrence,Megan Fox,0.4347,unknown
Jennifer Lawrence,Jennifer Lawrence,Jennifer Lawrence,0.3951,unknown
Jennifer Lawrence,Jennifer Lawrence,Angelina Jolie,0.3633,unknown
Jennifer Lawrence,Jennifer Lawrence,Denzel Washington,0.4062,unknown
Jennifer Lawrence,Jennifer Lawrence,Jennifer Lawrence,0.5132,recognized
Jennifer Lawrence,Jennifer Lawrence,Jennifer Lawrence,0.4348,unknown
Johnny Depp,Johnny Depp,Johnny Depp,0.6036,recognized
Johnny Depp,Johnny Depp,Sandra Bullock,0.2847,unknown
Johnny Depp,Johnny Depp,Tom Hanks,0.3761,unknown
Johnny Depp,Johnny Depp,Johnny Depp,0.6288,recognized
Johnny Depp,Johnny Depp,Johnny Depp,0.4278,unknown
Johnny Depp,Johnny Depp,Tom Cruise,0.2666,unknown
Johnny Depp,Johnny Depp,Johnny Depp,0.6766,recognized
Johnny Depp,Johnny Depp,Johnny Depp,0.5945,recognized
Johnny Depp,Johnny Depp,Tom Hanks,0.2554,unknown
Johnny Depp,Johnny Depp,Johnny Depp,0.6446,recognized
Johnny Depp,Johnny Depp,Brad Pitt,0.4162,unknown
Johnny Depp,Johnny Depp,Denzel Washington,0.2578,unknown
Johnny Depp,Johnny Depp,Johnny Depp,0.6180,recognized
Johnny Depp,Johnny Depp,Johnny Depp,0.6622,recognized
Johnny Depp,Johnny Depp,Johnny Depp,0.2462,unknown
Johnny Depp,Johnny Depp,Johnny Depp,0.6526,recognized
Johnny Depp,Johnny Depp,Johnny Depp,0.6474,recognized
Johnny Depp,Johnny Depp,Johnny Depp,0.6224,recognized
Johnny Depp,Johnny Depp,Johnny Depp,0.5517,recognized
Johnny Depp,Johnny Depp,Kate Winslet,0.3489,unknown
Kate Winslet,Kate Winslet,Denzel Washington,0.3820,unknown
Kate Winslet,Kate Winslet,Kate Winslet,0.4133,unknown
Kate Winslet,Kate Winslet,Kate Winslet,0.3553,unknown
Kate Winslet,Kate Winslet,Tom Hanks,0.3299,unknown
Kate Winslet,Kate Winslet,Nicole Kidman,0.2907,unknown
Kate Winslet,Kate Winslet,Kate Winslet,0.6425,recognized
Kate Winslet,Kate Winslet,Johnny Depp,0.4995,unknown
Kate Winslet,Kate Winslet,Megan Fox,0.4563,unknown
Kate Winslet,Kate Winslet,Megan Fox,0.3626,unknown
Kate Winslet,Kate Winslet,Tom Hanks,0.2495,unknown
Kate Winslet,Kate Winslet,Kate Winslet,0.5801,recognized
Kate Winslet,Kate Winslet,Johnny Depp,0.2096,unknown
Kate Winslet,Kate Winslet,Tom Hanks,0.3204,unknown
Kate Winslet,Kate Winslet,Natalie Portman,0.3194,unknown
Kate Winslet,Kate Winslet,Jennifer Lawrence,0.4343,unknown
Kate Winslet,Kate Winslet,Natalie Portman,0.2955,unknown
Kate Winslet,Kate Winslet,Kate Winslet,0.2980,unknown
Kate Winslet,Kate Winslet,Denzel Washington,0.2240,unknown
Kate Winslet,Kate Winslet,Nicole Kidman,0.3255,unknown
Kate Winslet,Kate Winslet,Tom Cruise,0.3670,unknown
Leonardo DiCaprio,Leonardo DiCaprio,Hugh Jackman,0.6262,recognized
Leonardo DiCaprio,Leonardo DiCaprio,Leonardo DiCaprio,0.5907,recognized
Leonardo DiCaprio,Leonardo DiCaprio,Leonardo DiCaprio,0.5051,recognized
Leonardo DiCaprio,Leonardo DiCaprio,Leonardo DiCaprio,0.7005,recognized
Leonardo DiCaprio,Leonardo DiCaprio,Leonardo DiCaprio,0.6517,recognized
Leonardo DiCaprio,Leonardo DiCaprio,Leonardo DiCaprio,0.4944,unknown
Leonardo DiCaprio,Leonardo DiCaprio,Tom Cruise,0.5708,recognized
Leonardo DiCaprio,Leonardo DiCaprio,Leonardo DiCaprio,0.2767,unknown
Leonardo DiCaprio,Leonardo DiCaprio,Leonardo DiCaprio,0.5768,recognized
Leonardo DiCaprio,Leonardo DiCaprio,Leonardo DiCaprio,0.6186,recognized
Leonardo DiCaprio,Leonardo DiCaprio,Leonardo DiCaprio,0.4947,unknown
Leonardo DiCaprio,Leonardo DiCaprio,Denzel Washington,0.3087,unknown
Leonardo DiCaprio,Leonardo DiCaprio,Tom Hanks,0.5383,recognized
Leonardo DiCaprio,Leonardo DiCaprio,Tom Hanks,0.3877,unknown
Leonardo DiCaprio,Leonardo DiCaprio,Tom Hanks,0.5525,recognized
Leonardo DiCaprio,Leonardo DiCaprio,Denzel Washington,0.4066,unknown
Leonardo DiCaprio,Leonardo DiCaprio,Denzel Washington,0.6547,recognized
Leonardo DiCaprio,Leonardo DiCaprio,Johnny Depp,0.5241,recognized
Leonardo DiCaprio,Leonardo DiCaprio,Leonardo DiCaprio,0.3201,unknown
Leonardo DiCaprio,Leonardo DiCaprio,Leonardo DiCaprio,0.6549,recognized
Megan Fox,Megan Fox,Angelina Jolie,0.4372,unknown
Megan Fox,Megan Fox,Megan Fox,0.5345,recognized
Megan Fox,Megan Fox,Megan Fox,0.5638,recognized
Megan Fox,Megan Fox,Jennifer Lawrence,0.2883,unknown
Megan Fox,Megan Fox,Megan Fox,0.4735,unknown
Megan Fox,Megan Fox,Megan Fox,0.6117,recognized
Megan Fox,Megan Fox,Megan Fox,0.3503,unknown
Megan Fox,Megan Fox,Nicole Kidman,0.3241,unknown
Megan Fox,Megan Fox,Sandra Bullock,0.2369,unknown
Megan Fox,Megan Fox,Megan Fox,0.4007,unknown
Megan Fox,Megan Fox,Sandra Bullock,0.4229,unknown
Megan Fox,Megan Fox,Megan Fox,0.5031,recognized
Megan Fox,Megan Fox,Sandra Bullock,0.4275,unknown
Megan Fox,Megan Fox,Jennifer Lawrence,0.5805,recognized
Megan Fox,Megan Fox,Megan Fox,0.5094,recognized
Megan Fox,Megan Fox,Johnny Depp,0.2614,unknown
Megan Fox,Megan Fox,Megan Fox,0.3294,unknown
Megan Fox,Megan Fox,Jennifer Lawrence,0.1795,unknown
Megan Fox,Megan Fox,Sandra Bullock,0.5228,recognized
Megan Fox,Megan Fox,Jennifer Lawrence,0.3675,unknown
Natalie Portman,Natalie Portman,Natalie Portman,0.5547,recognized
Natalie Portman,Natalie Portman,Nicole Kidman,0.2505,unknown
Natalie Portman,Natalie Portman,Natalie Portman,0.6636,recognized
Natalie Portman,Natalie Portman,Natalie Portman,0.2272,unknown
Natalie Portman,Natalie Portman,Will Smith,0.2093,unknown
Natalie Portman,Natalie Portman,Natalie Portman,0.4302,unknown
Natalie Portman,Natalie Portman,Natalie Portman,0.6418,recognized
Natalie Portman,Natalie Portman,Angelina Jolie,0.1695,unknown
Natalie Portman,Natalie Portman,Natalie Portman,0.5023,recognized
Natalie Portman,Natalie Portman,Nicole Kidman,0.4715,unknown
Natalie Portman,Natalie Portman,Natalie Portman,0.3663,unknown
Natalie Portman,Natalie Portman,Johnny Depp,0.5625,recognized
Natalie Portman,Natalie Portman,Jennifer Lawrence,0.4580,unknown
Natalie Portman,Natalie Portman,Angelina Jolie,0.3709,unknown
Natalie Portman,Natalie Portman,Natalie Portman,0.5853,recognized
Natalie Portman,Natalie Portman,Natalie Portman,0.4355,unknown
Natalie Portman,Natalie Portman,Johnny Depp,0.4419,unknown
Natalie Portman,Natalie Portman,Angelina Jolie,0.3151,unknown
Natalie Portman,Natalie Portman,Natalie Portman,0.7161,recognized
Natalie Portman,Natalie Portman,Natalie Portman,0.6667,recognized
Nicole Kidman,Nicole Kidman,Nicole Kidman,0.3101,unknown
Nicole Kidman,Nicole Kidman,Nicole Kidman,0.4680,unknown
Nicole Kidman,Nicole Kidman,Sandra Bullock,0.6254,recognized
Nicole Kidman,Nicole Kidman,Jennifer Lawrence,0.3906,unknown
Nicole Kidman,Nicole Kidman,Sandra Bullock,0.4306,unknown
Nicole Kidman,Nicole Kidman,Nicole Kidman,0.5100,recognized
Nicole Kidman,Nicole Kidman,Nicole Kidman,0.2617,unknown
Nicole Kidman,Nicole Kidman,Jennifer Lawrence,0.2517,unknown
Nicole Kidman,Nicole Kidman,Nicole Kidman,0.5347,recognized
Nicole Kidman,Nicole Kidman,Sandra Bullock,0.6162,recognized
Nicole Kidman,Nicole Kidman,Jennifer Lawrence,0.2715,unknown
Nicole Kidman,Nicole Kidman,Nicole Kidman,0.4958,unknown
Nicole Kidman,Nicole Kidman,Sandra Bullock,0.7138,recognized
Nicole Kidman,Nicole Kidman,Natalie Portman,0.3874,unknown
Nicole Kidman,Nicole Kidman,Nicole Kidman,0.5072,recognized
Nicole Kidman,Nicole Kidman,Nicole Kidman,0.3730,unknown
Nicole Kidman,Nicole Kidman,Leonardo DiCaprio,0.4227,unknown
Nicole Kidman,Nicole Kidman,Nicole Kidman,0.6160,recognized
Nicole Kidman,Nicole Kidman,Denzel Washington,0.3794,unknown
Nicole Kidman,Nicole Kidman,Jennifer Lawrence,0.4276,unknown
Robert Downey Jr,Robert Downey Jr,Brad Pitt,0.5553,recognized
Robert Downey Jr,Robert Downey Jr,Robert Downey Jr,0.2893,unknown
Robert Downey Jr,Robert Downey Jr,Robert Downey Jr,0.5926,recognized
Robert Downey Jr,Robert Downey Jr,Robert Downey Jr,0.6698,recognized
Robert Downey Jr,Robert Downey Jr,Robert Downey Jr,0.6709,recognized
Robert Downey Jr,Robert Downey Jr,Robert Downey Jr,0.6428,recognized
Robert Downey Jr,Robert Downey Jr,Robert Downey Jr,0.4408,unknown
Robert Downey Jr,Robert Downey Jr,Tom Hanks,0.6270,recognized
Robert Downey Jr,Robert Downey Jr,Robert Downey Jr,0.3117,unknown
Robert Downey Jr,Robert Downey Jr,Will Smith,0.4515,unknown
Robert Downey Jr,Robert Downey Jr,Brad Pitt,0.4548,unknown
Robert Downey Jr,Robert Downey Jr,Robert Downey Jr,0.6020,recognized
Robert Downey Jr,Robert Downey Jr,Denzel Washington,0.3767,unknown
Robert Downey Jr,Robert Downey Jr,Robert Downey Jr,0.5295,recognized
Robert Downey Jr,Robert Downey Jr,Will Smith,0.4250,unknown
Robert Downey Jr,Robert Downey Jr,Tom Hanks,0.2615,unknown
Robert Downey Jr,Robert Downey Jr,Johnny Depp,0.2883,unknown
Robert Downey Jr,Robert Downey Jr,Denzel Washington,0.3045,unknown
Robert Downey Jr,Robert Downey Jr,Johnny Depp,0.4187,unknown
Robert Downey Jr,Robert Downey Jr,Robert Downey Jr,0.2256,unknown
Sandra Bullock,Sandra Bullock,Jennifer Lawrence,0.2885,unknown
Sandra Bullock,Sandra Bullock,Sandra Bullock,0.5271,recognized
Sandra Bullock,Sandra Bullock,Will Smith,0.3177,unknown
Sandra Bullock,Sandra Bullock,Sandra Bullock,0.4954,unknown
Sandra Bullock,Sandra Bullock,Sandra Bullock,0.3173,unknown
Sandra Bullock,Sandra Bullock,Sandra Bullock,0.3691,unknown
Sandra Bullock,Sandra Bullock,Jennifer Lawrence,0.3079,unknown
Sandra Bullock,Sandra Bullock,Megan Fox,0.5986,recognized
Sandra Bullock,Sandra Bullock,Angelina Jolie,0.2774,unknown
Sandra Bullock,Sandra Bullock,Nicole Kidman,0.4357,unknown
Sandra Bullock,Sandra Bullock,Nicole Kidman,0.3480,unknown
Sandra Bullock,Sandra Bullock,Sandra Bullock,0.3070,unknown
Sandra Bullock,Sandra Bullock,Tom Hanks,0.4494,unknown
Sandra Bullock,Sandra Bullock,Megan Fox,0.4444,unknown
Sandra Bullock,Sandra Bullock,Natalie Portman,0.5582,recognized
Sandra Bullock,Sandra Bullock,Jennifer Lawrence,0.5994,recognized
Sandra Bullock,Sandra Bullock,Sandra Bullock,0.3636,unknown
Sandra Bullock,Sandra Bullock,Tom Hanks,0.4274,unknown
Sandra Bullock,Sandra Bullock,Sandra Bullock,0.6188,recognized
Sandra Bullock,Sandra Bullock,Sandra Bullock,0.1655,unknown
Scarlett Johansson,Scarlett Johansson,Scarlett Johansson,0.5476,recognized
Scarlett Johansson,Scarlett Johansson,Scarlett Johansson,0.5541,recognized
Scarlett Johansson,Scarlett Johansson,Scarlett Johansson,0.6382,recognized
Scarlett Johansson,Scarlett Johansson,Scarlett Johansson,0.5718,recognized
Scarlett Johansson,Scarlett Johansson,Scarlett Johansson,0.5260,recognized
Scarlett Johansson,Scarlett Johansson,Scarlett Johansson,0.5542,recognized
Scarlett Johansson,Scarlett Johansson,Scarlett Johansson,0.6017,recognized
Scarlett Johansson,Scarlett Johansson,Natalie Portman,0.5012,recognized
Scarlett Johansson,Scarlett Johansson,Scarlett Johansson,0.4959,unknown
Scarlett Johansson,Scarlett Johansson,Jennifer Lawrence,0.3797,unknown
Scarlett Johansson,Scarlett Johansson,Scarlett Johansson,0.5939,recognized
Scarlett Johansson,Scarlett Johansson,Scarlett Johansson,0.5580,recognized
Scarlett Johansson,Scarlett Johansson,Jennifer Lawrence,0.2435,unknown
Scarlett Johansson,Scarlett Johansson,Scarlett Johansson,0.5240,recognized
Scarlett Johansson,Scarlett Johansson,Jennifer Lawrence,0.4021,unknown
Scarlett Johansson,Scarlett Johansson,Natalie Portman,0.4104,unknown
Scarlett Johansson,Scarlett Johansson,Leonardo DiCaprio,0.4409,unknown
Scarlett Johansson,Scarlett Johansson,Will Smith,0.4791,unknown
Scarlett Johansson,Scarlett Johansson,Scarlett Johansson,0.5305,recognized
Scarlett Johansson,Scarlett Johansson,Scarlett Johansson,0.5629,recognized
Scarlett Johansson,Scarlett Johansson,Scarlett Johansson,0.5453,recognized
Scarlett Johansson,Scarlett Johansson,Scarlett Johansson,0.5418,recognized
Scarlett Johansson,Scarlett Johansson,Scarlett Johansson,0.6990,recognized
Scarlett Johansson,Scarlett Johansson,Scarlett Johansson,0.5560,recognized
Scarlett Johansson,Scarlett Johansson,Scarlett Johansson,0.6042,recognized
Scarlett Johansson,Scarlett Johansson,Scarlett Johansson,0.3530,unknown
Scarlett Johansson,Scarlett Johansson,Natalie Portman,0.5012,recognized
Scarlett Johansson,Scarlett Johansson,Scarlett Johansson,0.5108,recognized
Scarlett Johansson,Scarlett Johansson,Scarlett Johansson,0.5275,recognized
Scarlett Johansson,Scarlett Johansson,Scarlett Johansson,0.5954,recognized
Scarlett Johansson,Scarlett Johansson,Jennifer Lawrence,0.3797,unknown
Scarlett Johansson,Scarlett Johansson,Scarlett Johansson,0.5492,recognized
Scarlett Johansson,Scarlett Johansson,Scarlett Johansson,0.5395,recognized
Scarlett Johansson,Scarlett Johansson,Scarlett Johansson,0.6417,recognized
Scarlett Johansson,Scarlett Johansson,Scarlett Johansson,0.4841,unknown
Scarlett Johansson,Scarlett Johansson,Jennifer Lawrence,0.2435,unknown
Scarlett Johansson,Scarlett Johansson,Scarlett Johansson,0.5977,recognized
Scarlett Johansson,Scarlett Johansson,Scarlett Johansson,0.5829,recognized
Scarlett Johansson,Scarlett Johansson,Scarlett Johansson,0.5310,recognized
Scarlett Johansson,Scarlett Johansson,Scarlett Johansson,0.5307,recognized
Tom Cruise,Tom Cruise,Brad Pitt,0.5314,recognized
Tom Cruise,Tom Cruise,Tom Cruise,0.6318,recognized
Tom Cruise,Tom Cruise,Tom Cruise,0.6528,recognized
Tom Cruise,Tom Cruise,Johnny Depp,0.3711,unknown
Tom Cruise,Tom Cruise,Denzel Washington,0.5941,recognized
Tom Cruise,Tom Cruise,Tom Cruise,0.6648,recognized
Tom Cruise,Tom Cruise,Tom Cruise,0.6976,recognized
Tom Cruise,Tom Cruise,Tom Cruise,0.4091,unknown
Tom Cruise,Tom Cruise,Tom Cruise,0.6189,recognized
Tom Cruise,Tom Cruise,Jennifer Lawrence,0.4534,unknown
Tom Cruise,Tom Cruise,Tom Cruise,0.6558,recognized
Tom Cruise,Tom Cruise,Johnny Depp,0.1362,unknown
Tom Cruise,Tom Cruise,Jennifer Lawrence,0.4493,unknown
Tom Cruise,Tom Cruise,Tom Cruise,0.3257,unknown
Tom Cruise,Tom Cruise,Tom Cruise,0.6599,recognized
Tom Cruise,Tom Cruise,Denzel Washington,0.2382,unknown
Tom Cruise,Tom Cruise,Will Smith,0.3847,unknown
Tom Cruise,Tom Cruise,Tom Cruise,0.4170,unknown
Tom Cruise,Tom Cruise,Hugh Jackman,0.4068,unknown
Tom Cruise,Tom Cruise,Will Smith,0.3743,unknown
Tom Hanks,Tom Hanks,Tom Hanks,0.6572,recognized
Tom Hanks,Tom Hanks,Will Smith,0.6194,recognized
Tom Hanks,Tom Hanks,Tom Hanks,0.6127,recognized
Tom Hanks,Tom Hanks,Tom Hanks,0.6661,recognized
Tom Hanks,Tom Hanks,Tom Hanks,0.6713,recognized
Tom Hanks,Tom Hanks,Johnny Depp,0.2412,unknown
Tom Hanks,Tom Hanks,Tom Hanks,0.6534,recognized
Tom Hanks,Tom Hanks,Tom Hanks,0.3873,unknown
Tom Hanks,Tom Hanks,Natalie Portman,0.3617,unknown
Tom Hanks,Tom Hanks,Tom Hanks,0.3756,unknown
Tom Hanks,Tom Hanks,Tom Hanks,0.2930,unknown
Tom Hanks,Tom Hanks,Tom Hanks,0.6402,recognized
Tom Hanks,Tom Hanks,Brad Pitt,0.4278,unknown
Tom Hanks,Tom Hanks,Denzel Washington,0.4254,unknown
Tom Hanks,Tom Hanks,Brad Pitt,0.3794,unknown
Tom Hanks,Tom Hanks,Tom Hanks,0.5774,recognized
Tom Hanks,Tom Hanks,Hugh Jackman,0.1958,unknown
Tom Hanks,Tom Hanks,Denzel Washington,0.3916,unknown
Tom Hanks,Tom Hanks,Tom Hanks,0.6522,recognized
Tom Hanks,Tom Hanks,Tom Hanks,0.2811,unknown
Will Smith,Will Smith,Will Smith,0.5808,recognized
Will Smith,Will Smith,Tom Hanks,0.5424,recognized
Will Smith,Will Smith,Tom Hanks,0.5478,recognized
Will Smith,Will Smith,Tom Hanks,0.2222,unknown
Will Smith,Will Smith,Tom Hanks,0.1678,unknown
Will Smith,Will Smith,Tom Hanks,0.3591,unknown
Will Smith,Will Smith,Will Smith,0.5048,recognized
Will Smith,Will Smith,Will Smith,0.4105,unknown
Will Smith,Will Smith,Denzel Washington,0.5656,recognized
Will Smith,Will Smith,Denzel Washington,0.3597,unknown
Will Smith,Will Smith,Tom Hanks,0.3275,unknown
Will Smith,Will Smith,Tom Hanks,0.3069,unknown
Will Smith,Will Smith,Natalie Portman,0.4500,unknown
Will Smith,Will Smith,Sandra Bullock,0.4275,unknown
Will Smith,Will Smith,Will Smith,0.4806,unknown
Will Smith,Will Smith,Denzel Washington,0.4225,unknown
Will Smith,Will Smith,Will Smith,0.3854,unknown
Will Smith,Will Smith,Denzel Washington,0.1859,unknown
Will Smith,Will Smith,Will Smith,0.5496,recognized
Will Smith,Will Smith,Tom Hanks,0.6260,recognized
